"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
1,2017,"Hyderabad","2017-04-05","Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal","00","Sunrisers Hyderabad",35,0,"Yuvraj Singh","Rajiv Gandhi International Stadium, Uppal","AY Dandekar","NJ Llong",""
2,2017,"Pune","2017-04-06","Mumbai Indians","Rising Pune Supergiant","Rising Pune Supergiant","field","normal","00","Rising Pune Supergiant",0,7,"SPD Smith","Maharashtra Cricket Association Stadium","A Nand Kishore","S Ravi",""
3,2017,"Rajkot","2017-04-07","Gujarat Lions","Kolkata Knight Riders","Kolkata Knight Riders","field","normal","00","Kolkata Knight Riders",0,10,"CA Lynn","Saurashtra Cricket Association Stadium","Nitin Menon","CK Nandan",""
4,2017,"Indore","2017-04-08","Rising Pune Supergiant","Kings XI Punjab","Kings XI Punjab","field","normal","00","Kings XI Punjab",0,6,"GJ Maxwell","Holkar Cricket Stadium","AK Chaudhary","C Shamshuddin",""
5,2017,"Bangalore","2017-04-08","Royal Challengers Bangalore","Delhi Daredevils","Royal Challengers Bangalore","bat","normal","00","Royal Challengers Bangalore",15,0,"KM Jadhav","M Chinnaswamy Stadium","","",""
6,2017,"Hyderabad","2017-04-09","Gujarat Lions","Sunrisers Hyderabad","Sunrisers Hyderabad","field","normal","00","Sunrisers Hyderabad",0,9,"Rashid Khan","Rajiv Gandhi International Stadium, Uppal","A Deshmukh","NJ Llong",""
7,2017,"Mumbai","2017-04-09","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,4,"N Rana","Wankhede Stadium","Nitin Menon","CK Nandan",""
8,2017,"Indore","2017-04-10","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal","00","Kings XI Punjab",0,8,"AR Patel","Holkar Cricket Stadium","AK Chaudhary","C Shamshuddin",""
9,2017,"Pune","2017-04-11","Delhi Daredevils","Rising Pune Supergiant","Rising Pune Supergiant","field","normal","00","Delhi Daredevils",97,0,"SV Samson","Maharashtra Cricket Association Stadium","AY Dandekar","S Ravi",""
10,2017,"Mumbai","2017-04-12","Sunrisers Hyderabad","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,4,"JJ Bumrah","Wankhede Stadium","Nitin Menon","CK Nandan",""
11,2017,"Kolkata","2017-04-13","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal","00","Kolkata Knight Riders",0,8,"SP Narine","Eden Gardens","A Deshmukh","NJ Llong",""
